Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_OE,AT_OE,AG_OE,AC_OE,TA_OE,TT_OE,TG_OE,TC_OE,GA_OE,GT_OE,GG_OE,GC_OE,CA_OE,CT_OE,CG_OE,CC_OE,CA_and_TG_OE,AC_and_GT_OE,AG_and_CT_OE,GA_and_TC_OE,AA_and_TT_OE,CC_and_GG_OE
Hofmannophila pseudospretella,gene_associated_-2kb_+1kb,120.1,Hofmannophila_pseudospretella_ott1053135,406170397.0,,0.9576954830020952,,,0.9205606625575566,,,,,,,1.0698648843856584,,,1.0218774909802248,,1.02840022348434,0.9842642738855308,0.9195802030948241,0.9324591399094434,1.1049335411724712,1.0579893054945706
Pristionchus mayeri,gene_associated_-2kb_+1kb,77.0,Pristionchus_mayeri_ott5262691,290822667.0,,1.0272886616082872,,,0.7039241920616282,,,,,,,0.9233991431374806,,,0.961200388481118,,1.03576280651241,0.8386458720346524,1.0024941394517954,1.2285169120675439,1.0941105006613547,0.9887292801825526
Pristionchus entomophagus,gene_associated_-2kb_+1kb,31.0,Pristionchus_entomophagus_ott10861,244859149.0,,1.036846054984446,,,0.6969805557014565,,,,,,,0.9027770192612248,,,0.9844942783169528,,1.0306128254058282,0.8370641089811808,0.9929891405759519,1.2484312134682667,1.0917984365177225,0.9842965247548232
Satyrium pruni,gene_associated_-2kb_+1kb,47.0,Satyrium_pruni_ott790482,869879851.0,,0.9810530683924538,,,0.9363541865523788,,,,,,,1.125566154617068,,,1.0394866672277987,,1.0203833167718537,0.9579605115679412,0.8920342276492933,0.8990654173055435,1.1154832311846776,1.0966033884180189
Biomphalaria sudanica,gene_associated_-2kb_+1kb,301.0,Biomphalaria_sudanica_ott268291,944208304.0,,0.8846842428443472,,,0.8241641084556266,,,,,,,0.9937655468775392,,,0.5349182194606701,,1.1562869446385282,0.9745869936425855,1.0565187211318803,0.9840894972495735,1.0980887313716208,1.0808464459454625
Macrostomum hystrix,gene_associated_-2kb_+1kb,100.0,Macrostomum_hystrix_ott264325,220453370.0,,0.960102728926726,,,0.7696611141555273,,,,,,,1.125850331658588,,,0.7554124939268785,,1.122826805359489,0.8533286280853659,1.109658989167859,1.0640179876124485,1.071364426534963,0.9713353964097562
Diodora aspera,gene_associated_-2kb_+1kb,7300.0,Diodora_aspera_ott335847,782408230.0,,0.9477275799940278,,,0.7518138982656811,,,,,,,0.9351035192576436,,,0.6765035421608878,,1.2458175171284278,1.0131044556887852,0.9589521969686114,1.0179247031382312,1.0710722635426502,1.01857871016586
Dendronotus venustus,gene_associated_-2kb_+1kb,365.0,Dendronotus_venustus_ott945191,680167874.0,,0.929546195541944,,,0.7951508953135192,,,,,,,0.959813991977014,,,0.8123332573989819,,1.1231857955937599,0.9619621466106214,0.9426908940758917,1.0212219212614064,1.1238801089407937,1.0700891693558614
Haliotis cracherodii,gene_associated_-2kb_+1kb,10950.0,Haliotis_cracherodii_ott260344,1182252637.0,,0.9914722376184087,,,0.813484769335332,,,,,,,0.8667818027797006,,,0.6224115272756096,,1.301169160189689,1.088785157828592,0.9369710813860688,0.9771311926484971,0.9903734589240223,1.0396961114448333
Cooperia oncophora,gene_associated_-2kb_+1kb,418.1666667,Cooperia_oncophora_ott970617,503682193.0,,0.9066043088440978,,,0.7217838170380266,,,,,,,1.0566469219599717,,,0.92834845177961,,1.074672361817765,0.9114927398809537,1.0096548895566737,1.0635250752638132,1.1605534929772285,0.9726352894974313
Polyommatus icarus,gene_associated_-2kb_+1kb,71.85,Polyommatus_icarus_fuchsi_ott104048,511758028.0,,0.9556851193225756,,,0.925694115785965,,,,,,,1.1729052072356616,,,1.131313800692313,,1.007670577519922,0.9702319296649319,0.8924283385428593,0.9048301710167567,1.1269551701294491,1.0347214851003914
Octopus sinensis,gene_associated_-2kb_+1kb,486.6666667,Octopus_oculifer_ott302598,2719136158.0,,1.0079458838984483,,,0.8734896163499912,,,,,,,1.0065695239283747,,,0.5686378737908165,,1.2319725765907714,0.9888990181602997,0.9740285946277983,0.9597824906031789,1.0138359748498973,1.0807753216519265
Saxidomus gigantea,gene_associated_-2kb_+1kb,6935.0,Saxidomus_gigantea_ott139257,921158569.0,,0.922218279892518,,,0.8188199414181271,,,,,,,1.0121277854679938,,,0.6863907133496409,,1.2219011269701174,1.0382509613762234,0.9543380942674767,0.9611246265328582,1.0818093859252285,0.9889819387493172
