GeneID,Fragmented,Multi_copy,Single_copy
514121at33208,0,0,1
514296at33208,0,0,1
514565at33208,0,0,1
514698at33208,0,0,1
514724at33208,0,0,1
514740at33208,0,0,1
515410at33208,0,0,1
515425at33208,0,0,1
515528at33208,0,0,1
515640at33208,0,0,1
516078at33208,0,0,1
516321at33208,0,0,1
516716at33208,0,0,1
517311at33208,0,0,1
517525at33208,0,0,1
517686at33208,0,0,1
518288at33208,1,0,0
518569at33208,0,0,1
519030at33208,0,0,1
519303at33208,0,0,1
519777at33208,0,0,1
520011at33208,0,0,1
522988at33208,1,0,0
523534at33208,0,0,1
524148at33208,1,0,0
524165at33208,0,0,1
524322at33208,0,0,1
525542at33208,1,0,0
525888at33208,0,0,1
526074at33208,0,0,1
526487at33208,0,0,1
527406at33208,0,0,1
528325at33208,0,0,1
529092at33208,0,0,1
529093at33208,0,0,1
529852at33208,0,0,1
530431at33208,0,0,1
532406at33208,0,0,1
532693at33208,0,0,1
532728at33208,0,0,1
532930at33208,1,0,0
533666at33208,1,0,0
533690at33208,0,0,1
534172at33208,0,0,1
534206at33208,0,0,1
534312at33208,0,0,1
534808at33208,0,0,1
535268at33208,0,0,1
535367at33208,0,1,0
535524at33208,0,0,1
535650at33208,0,0,1
535664at33208,0,0,1
535806at33208,0,0,1
536251at33208,0,0,1
537470at33208,0,0,1
537548at33208,0,0,1
537923at33208,0,0,1
538442at33208,1,0,0
539043at33208,0,0,1
539234at33208,0,0,1
539360at33208,0,0,1
539600at33208,0,0,1
540193at33208,0,0,1
541260at33208,0,0,1
543124at33208,1,0,0
543269at33208,0,0,1
544546at33208,1,0,0
544849at33208,0,0,1
545063at33208,0,0,1
545389at33208,0,0,1
545641at33208,0,0,1
546305at33208,0,0,1
546751at33208,0,0,1
547341at33208,0,0,1
547766at33208,0,0,1
548327at33208,0,0,1
548444at33208,0,0,1
548732at33208,0,0,1
549156at33208,0,0,1
549988at33208,0,0,1
551166at33208,0,0,1
551620at33208,0,0,1
551831at33208,0,0,1
552201at33208,0,0,1
552359at33208,0,0,1
553411at33208,0,0,1
553585at33208,0,0,1
554010at33208,0,0,1
555162at33208,0,0,1
555390at33208,0,0,1
555538at33208,0,0,1
556039at33208,0,0,1
556189at33208,0,0,1
556337at33208,0,1,0
556445at33208,0,0,1
556587at33208,0,0,1
557292at33208,0,0,1
557596at33208,0,1,0
557694at33208,0,0,1
557962at33208,0,0,1
558552at33208,0,0,1
558791at33208,1,0,0
558897at33208,0,0,1
558933at33208,0,0,1
559146at33208,0,0,1
559501at33208,0,0,1
559883at33208,0,0,1
560453at33208,0,0,1
560584at33208,0,0,1
560694at33208,0,0,1
561054at33208,0,0,1
561417at33208,0,0,1
561878at33208,0,0,1
561943at33208,0,0,1
562780at33208,0,0,1
563084at33208,0,0,1
563358at33208,0,0,1
563359at33208,0,0,1
563426at33208,0,0,1
563679at33208,0,0,1
564234at33208,0,0,1
564286at33208,0,0,1
56573at33208,0,0,1
566026at33208,0,0,1
566116at33208,0,0,1
566262at33208,0,0,1
566447at33208,0,0,1
566527at33208,0,0,1
567650at33208,1,0,0
567809at33208,0,0,1
568022at33208,0,0,1
568170at33208,0,0,1
568839at33208,0,0,1
568949at33208,0,1,0
569294at33208,1,0,0
569303at33208,0,0,1
569812at33208,0,0,1
569878at33208,1,0,0
570262at33208,0,0,1
570646at33208,0,0,1
570717at33208,0,0,1
57158at33208,0,0,1
572074at33208,0,0,1
572434at33208,0,0,1
572463at33208,0,0,1
572754at33208,0,0,1
572845at33208,0,0,1
573203at33208,1,0,0
573237at33208,0,0,1
576633at33208,0,0,1
577068at33208,0,0,1
577339at33208,0,0,1
577929at33208,0,0,1
578354at33208,0,0,1
578582at33208,0,1,0
578726at33208,0,0,1
578734at33208,1,0,0
