Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_Rate,AT_Rate,AG_Rate,AC_Rate,TA_Rate,TT_Rate,TG_Rate,TC_Rate,GA_Rate,GT_Rate,GG_Rate,GC_Rate,CA_Rate,CT_Rate,CG_Rate,CC_Rate,AA_and_TT_Rate,AC_and_GT_Rate,AG_and_CT_Rate,CA_and_TG_Rate,CC_and_GG_Rate,GA_and_TC_Rate
Acanthopleura granulata,exon,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.085098868142688,0.0623777133411018,0.084134124639802,0.061012800014453,0.0412283316621952,0.0606586994029068,0.0821956044551638,0.055669674715229,0.0841666440837195,0.0565648627408471,0.0604897789581131,0.0487159336242016,0.081117946216453,0.0599188820537835,0.0250471983595747,0.0516029375897672,,,,,,
Acanthopleura granulata,genome,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,,0.0854,,,0.072598,,,,,,,0.039347,,,0.025428,,0.192856,0.123748,0.114708,0.150479,0.081855,0.113581
Acanthopleura granulata,intergenic,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,,0.0871694710183591,,,0.0749960771641353,,,,,,,0.0393683896082424,,,0.0279229974373811,,0.1952569269616057,0.12329029736899441,0.11205417947349819,0.1469278220745939,0.0802498966685954,0.1127639422245935
Acanthopleura granulata,intron,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.0938680032304796,0.0868365366099598,0.0588776700127655,0.0561864608171225,0.0724677394493209,0.1051169732844052,0.084632032241869,0.0558073075458686,0.0551558718536064,0.0677243527733401,0.039954041752694,0.03673052042398,0.0742767536008972,0.0583461898537586,0.0161008915282803,0.0379186550216517,,,,,,
Acanthopleura granulata,upstream1,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.1022677588432059,0.0868649089999209,0.0567440145389417,0.0582242473727184,0.0721047225221903,0.1070613954223404,0.0769826428213975,0.0564700924487054,0.0557326098980693,0.0630389548818711,0.0379750836252535,0.0370848368319856,0.0739115547712487,0.055816893618142,0.0221613506466141,0.0375589327573945,,,,,,
Acanthopleura granulata,upstream2,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.0942500763776956,0.0750239667941384,0.0675758246157411,0.0577520727326359,0.0583788965793327,0.0909684691802829,0.0806443117052769,0.0548707900087439,0.068998029982196,0.0647261464555481,0.0493557936432687,0.0422500342382773,0.0729644027264203,0.0538805136795086,0.0280490502828608,0.0403116209980721,,,,,,
Acanthoscurria geniculata,downstream1,3491.0,Acanthoscurria_geniculata_ott44519,7178402394.0,0.112145704767626,0.0837065152094369,0.07440882529627,0.0486046638632515,0.0634864289225056,0.096936267817159,0.0828054175086013,0.0521680956801922,0.0748457211512205,0.0573425809622631,0.0432390366446398,0.0377778384577576,0.0696166238872808,0.0562503413248866,0.0137758724264103,0.032890066080498,,,,,,
Acanthoscurria geniculata,downstream2,3491.0,Acanthoscurria_geniculata_ott44519,7178402394.0,0.1149775368208572,0.0989987584962621,0.0549209099597181,0.0462929055653307,0.0884504425648216,0.1451308937933745,0.0848420432114754,0.0475433409848072,0.0504818642205768,0.0708460981949071,0.0276971445414028,0.0261876903564634,0.0612177454649386,0.0513750323773456,0.007315047203937,0.0237225462437813,,,,,,
Acanthoscurria geniculata,exon,3491.0,Acanthoscurria_geniculata_ott44519,7178402394.0,0.1092293616660617,0.0822968981921151,0.0730238552127453,0.0500422687335244,0.0599151148210044,0.0935627652661843,0.0840245919274325,0.0530456306734093,0.0746559281627118,0.0572964092221901,0.0430489122049066,0.0406714317691366,0.0706746263726472,0.0575528467829038,0.0159969227492714,0.0349624362437547,,,,,,
Acanthoscurria geniculata,genome,3491.0,Acanthoscurria_geniculata_ott44519,7178402394.0,,0.08017,,,0.066318,,,,,,,0.040967,,,0.030574,,0.203214,0.119066,0.115485,0.14330900000000002,0.081959,0.118937
